sigle,titre
"AER1110,""projet initial en génie aérospatial"""
"AER1200,""Caractéristiques des aéronefs"""
"AER1205,""Introduction aux aéronefs"""
"AER2100,""Méthodes expérim. et instrum. en aérospatiale"""
"AER2110,""Introduction à la conception en aéronautique"""
"AER2400,""Résistance de structures aéronautiques"""
"AER2430,""Vibrations et systèmes aéronautiques"""
"AER3000,""Habiletés personnelles et professionnelles"""
"AER3000A,""Atelier en CÉO"""
"AER3000I,""Épreuves initiales de communication"""
"AER3640,""Mécanique du vol"""
"AER3900,""Projet individuel en génie aérospatial"""
"AER4000,""Politique et droit de l'aérospatiale"""
"AER4121,""Investig. et expériment. en génie aérospatial"""
"AER4200,""Conception des systèmes électriques d'avion"""
"AER4270,""Propulsion aéronautique"""
"AER6611,""Études de cas en aérospatial I"""
"AER6612,""Études de cas en aérospatiale II"""
"AER6905,""Stage indsutriel en aérospatial I"""
"AER6906,""Stage industriel en aérospatial II"""
"AER8080,""Projet intégr. en syst. emb. en aérospatial"""
"AER8150,""Structure aéronautique"""
"AER8270,""Aérodynamique"""
"AER8300,""Informatique des systèmes spatiaux"""
"AER8375,""Analyse et performance des avions"""
"AER8410,""Commande de vol et de moteurs"""
"AER8500,""Informatique embarquée de l'avionique"""
"AER8505,""Procédés de fabrication aéronautique"""
"AER8721,""Systèmes avioniques"""
"AER8725,""Architecture certification systèmes aéronefs"""
"AER8875,""Projet intégrateur IV en génie aérospatial"""
"AR400,""Conception et fab. assistées par ordinateur"""
"BV110,""L'humain et son environnement construit"""
"BV120,""Eau et matériaux dans les bâtiments durables"""
"BV130,""L'énergie passive dans les bâtiments durables"""
"BV140,""L'utilisation de l'énergie dans les bâtiments"""
"BV150,""Conception de systèmes mécaniques performants"""
"BV160,""Simulation énergétique des bâtiments durables"""
"BV170,""Projet de bâtiment durable"""
"BV180,""Gestion écologique des bâtiments"""
"C-040,""Mécanique statique"""
"C-050,""Résistance des matériaux"""
"C-060,""Éléments de machines"""
"C-070,""Technologie de construction mécanique"""
"C-080,""Processus de fabrication mécanique"""
"C-090,""Mach.-out. à comm. num. et leur programmation"""
"C-220,""Plastiques armés de fibre de verre I"""
"C-222,""Conception et fabr. des pièces en plastique"""
"C-240,""Systèmes hydrauliques et pneumatiques"""
"C-241,""Éléments d'automatismes industriels"""
"CAP7003,""Stratégies de recherche doctorale en génie"""
"CAP7003E,""Doctoral research strategies in engineering"""
"CAP7005,""Trait. de l'info. scientifique et technique"""
"CAP7005E,""Handling of scientific and technical info."""
"CAP7011,""Approches créatives en recherche"""
"CAP7011E,""Creative approaches to research"""
"CAP7015,""Conduire un projet de recherche"""
"CAP7015E,""Leading a research project"""
"CAP7110E,""Writing science effectively"""
"CAP7210,""Propriété intellectuelle et brevet"""
"CAP7210E,""Intellectual property and patent"""
"CAP7220,""Enseigner en génie"""
"CAP7220E,""Teaching engineering"""
"CAP7230,""Devenir un entrepreneur technologique"""
"CF100,""Cyberfraude"""
"CF110,""Introduction à la preuve numérique"""
"CF120,""Cybersécurité et cyberterrorisme"""
"CF130,""Internet évolutif"""
"CF140,""Acquisition et analyse de preuve numérique"""
